Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-02-17,2023-02-18,7800,NJT MOBILE 3001,Other Travel,4.25,
2023-02-14,2023-02-14,7800,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,2138.57
2023-02-13,2023-02-14,7800,AMZN Mktp US*HE9933OJ2,Merchandise,10.59,
2023-02-10,2023-02-13,7800,THE ARGYLE BOUQUET,Merchandise,44.52,
2023-02-12,2023-02-13,7800,TST* SPIN - PHILADELPH,Dining,55.50,
2023-02-11,2023-02-13,7800,MADEWELL #230,Merchandise,88.00,
2023-02-10,2023-02-13,7800,SHAKE SHACK 1110,Dining,33.58,
2023-02-10,2023-02-11,7800,CVS/PHARMACY #06902,Health Care,20.61,
2023-02-10,2023-02-11,7800,10098 CAVA SUBURBAN SQ,Dining,15.00,
2023-02-09,2023-02-11,7800,POWER OIL GAS STATION,Gas/Automotive,61.75,
2023-02-09,2023-02-11,7800,POWER OIL GAS STATION,Gas/Automotive,61.75,
2023-02-09,2023-02-11,7800,POWER OIL GAS STATION,Gas/Automotive,61.75,
2023-02-09,2023-02-11,7800,AMBROSIA RISTORANTE,Dining,121.68,
2023-02-09,2023-02-10,7800,CVS/PHARMACY #06064,Health Care,11.49,
2023-02-09,2023-02-10,7800,CVS/PHARMACY #06064,Health Care,103.73,
2023-02-09,2023-02-10,7800,PARAMOUNT+,Phone/Cable,4.99,
2023-02-09,2023-02-10,7800,HARRIS CLIFTON,Dining,12.03,
2023-02-08,2023-02-09,7800,HARRIS CLIFTON,Dining,11.77,
2023-02-08,2023-02-08,7800,WSJ/BARRONS SUBSCRIPTI,Other Services,4.00,
2023-02-07,2023-02-08,7800,HARRIS CLIFTON,Dining,9.69,
2023-02-06,2023-02-07,7800,HARRIS CLIFTON,Dining,4.16,
2023-02-06,2023-02-07,7800,HARRIS CLIFTON,Dining,6.17,
2023-02-06,2023-02-07,7800,STEAMGAMES.COM 4259522,Internet,15.94,
2023-02-05,2023-02-07,7800,THE ALLWOOD DINER,Dining,45.92,
2023-02-05,2023-02-06,7800,STOP & SHOP 0813,Merchandise,42.22,
2023-02-04,2023-02-06,7800,BRASS RAIL,Dining,32.77,
2023-02-04,2023-02-06,7800,MTA*NYCT PAYGO,Other Travel,2.75,
2023-02-04,2023-02-06,7800,MTA*NYCT PAYGO,Other Travel,2.75,
2023-02-04,2023-02-06,7800,NJT MOBILE 3001,Other Travel,4.25,
2023-02-04,2023-02-06,7800,NJT MOBILE 3001,Other Travel,4.25,
2023-02-05,2023-02-06,7800,STEAMGAMES.COM 4259522,Internet,10.62,
2023-02-03,2023-02-06,7800,SEGPAY.COM  *ANDOMARK,Other,7.99,
2023-02-03,2023-02-04,7800,DEEPFAKESWEB,Merchandise,15.00,
2023-02-03,2023-02-04,7800,HARRIS CLIFTON,Dining,1.91,
2023-02-03,2023-02-04,7800,HARRIS CLIFTON,Dining,6.59,
2023-02-02,2023-02-03,7800,TRADER JOE'S #610 QPS,Merchandise,13.47,
2023-02-02,2023-02-03,7800,HARRIS CLIFTON,Dining,10.23,
2023-02-01,2023-02-02,7800,CMSVEND*CULINARY VENTU,Dining,1.85,
2023-02-01,2023-02-02,7800,HARRIS CLIFTON,Dining,2.44,
2023-02-01,2023-02-02,7800,HARRIS CLIFTON,Dining,6.39,
2023-01-31,2023-02-01,7800,HARRIS CLIFTON,Dining,10.60,
2023-02-01,2023-02-01,7800,AMZN Mktp US*NN2BH1D33,Merchandise,64.62,

